family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00076,SSBP1_YEAST/39-113,CSTF2_HUMAN/18-88,75,71,0.2,2,71,0.8611,0.4366,0.5794,10.0,0.9155,0.9155,0.9155,393.79
PF01565,MURB_YERPE/20-153,MURB_CLOAB/38-168,134,131,0.2446,2,126,1.0,0.3889,0.56,32.68,0.8397,0.873,0.856,417.24
PF00014,Q23456_CAEEL/99-151,TFPI1_MOUSE/120-172,53,53,0.283,2,53,1.0,0.9623,0.9808,5.33,1.0,0.9811,0.9905,494.37
PF00018,CRKL_HUMAN/129-175,RV167_YEAST/427-474,47,48,0.28,2,45,0.9302,0.8889,0.9091,4.26,0.8696,0.8889,0.8791,434.68
PF00027,Q6BGF5_PARTE/539-633,PDE5_DICDI/625-707,95,83,0.2292,2,82,0.7887,0.6829,0.732,14.65,0.7831,0.7927,0.7879,486.63
PF00014,ISC3_BOMMO/9-62,BPT1_BOVIN/39-91,54,53,0.2963,2,53,1.0,0.8302,0.9072,5.46,1.0,0.9623,0.9808,542.08
PF00010,DPN_DROME/41-98,DA_DROME/555-608,58,54,0.2097,2,50,0.6957,0.64,0.6667,5.99,0.8868,0.94,0.9126,470.27
PF00595,DLG4_RAT/160-244,ZO1_MOUSE/186-261,85,76,0.2184,2,74,1.0,0.6351,0.7769,12.31,0.9595,0.9595,0.9595,465.82
PF00018,BZZ1_YEAST/499-547,SHO1_YEAST/306-353,49,48,0.2549,2,46,0.4792,0.5,0.4894,4.43,0.7609,0.7609,0.7609,464.57
PF07686,LV1B_MOUSE/24-128,CD8B_RAT/24-134,105,111,0.2301,2,103,0.68,0.6602,0.67,22.08,0.7184,0.7184,0.7184,525.44
PF00018,ABL_DROME/193-240,NCK1_HUMAN/196-244,48,49,0.28,2,47,0.9565,0.9362,0.9462,4.45,0.9375,0.9574,0.9474,463.15
PF00072,CHEY_SALTY/8-121,KDPE_ECOLI/4-113,114,110,0.3333,3,110,0.9722,0.9545,0.9633,24.89,0.9818,0.9818,0.9818,482.64
PF00104,A8XUX3_CAEBR/193-405,G0NEN3_CAEBE/105-321,213,217,0.3134,3,213,0.8341,0.8028,0.8182,89.75,0.8498,0.8498,0.8498,484.33
PF00018,LCK_CHICK/66-112,ABL_DROME/193-240,47,48,0.3469,3,46,0.8,0.7826,0.7912,4.35,0.8261,0.8261,0.8261,509.53
PF01565,MURB_BACSU/34-165,MURB_SYNE7/29-161,132,133,0.3731,3,131,0.9421,0.8702,0.9048,34.47,0.9394,0.9466,0.943,526.85
PF00027,Q756V6_EREGS/150-235,P74736_SYNY3/157-240,86,84,0.3034,3,81,0.9231,0.8889,0.9057,13.56,0.9221,0.8765,0.8987,402.47
PF00010,B4Q4D1_DROSI/244-298,HEY1_CANLF/51-105,55,55,0.3103,3,51,0.7308,0.7451,0.7379,5.75,0.8519,0.902,0.8762,347.53
PF00583,O27080_METTH/11-120,Q7LXZ8_SACS2/12-122,110,111,0.4234,3,110,0.8224,0.8,0.8111,25.5,0.9524,0.7273,0.8247,636.99
